               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.010815,           0.0088353,           0.0032957,             0.98098,             0.98758,             0.99313,             0.96996,            0.003286,           0.0048923,          0.00034609,            0.009989,            0.009989,            0.009989
                 113,            0.010779,           0.0087487,           0.0031379,             0.98355,             0.98538,             0.99314,             0.97005,           0.0032833,           0.0048922,          0.00034596,           0.0099889,           0.0099889,           0.0099889
                 114,            0.010652,           0.0085442,           0.0030411,             0.98196,             0.98704,             0.99315,             0.96993,           0.0032802,           0.0048926,          0.00034558,           0.0099888,           0.0099888,           0.0099888
                 115,            0.010707,           0.0085981,           0.0032316,              0.9833,             0.98606,             0.99315,             0.96971,           0.0032788,           0.0048936,          0.00034413,           0.0099887,           0.0099887,           0.0099887
                 116,            0.010447,           0.0086575,           0.0032464,             0.98334,              0.9855,             0.99315,             0.96989,           0.0032768,           0.0048945,          0.00034342,           0.0099886,           0.0099886,           0.0099886
                 117,            0.010619,           0.0085533,           0.0030744,             0.98086,             0.98789,             0.99314,             0.96989,            0.003276,           0.0048926,          0.00034206,           0.0099885,           0.0099885,           0.0099885
                 118,            0.010715,           0.0086432,            0.003215,             0.98028,              0.9882,             0.99315,             0.97012,           0.0032754,           0.0048921,          0.00034095,           0.0099884,           0.0099884,           0.0099884
                 119,            0.010733,           0.0086045,           0.0032004,             0.98063,             0.98808,             0.99317,              0.9699,           0.0032742,            0.004893,          0.00033757,           0.0099883,           0.0099883,           0.0099883
                 120,             0.01075,           0.0086626,           0.0031035,             0.98087,             0.98791,             0.99318,              0.9701,           0.0032716,           0.0048906,          0.00033471,           0.0099882,           0.0099882,           0.0099882
                 121,            0.010708,           0.0085959,           0.0030827,             0.98059,             0.98882,             0.99319,             0.97017,           0.0032694,           0.0048863,          0.00033198,           0.0099881,           0.0099881,           0.0099881
                 122,            0.010786,           0.0086528,           0.0031023,             0.98058,             0.98809,              0.9932,             0.97019,           0.0032659,           0.0048836,          0.00033043,            0.009988,            0.009988,            0.009988
                 123,            0.010471,           0.0085377,           0.0031383,             0.98063,             0.98806,             0.99321,             0.97023,           0.0032603,           0.0048789,          0.00032889,           0.0099879,           0.0099879,           0.0099879
                 124,            0.010455,            0.008497,           0.0032342,             0.98088,             0.98806,             0.99325,             0.97032,           0.0032571,            0.004873,          0.00032635,           0.0099878,           0.0099878,           0.0099878
                 125,            0.010408,           0.0086201,           0.0032401,             0.98059,             0.98849,             0.99325,             0.97032,           0.0032551,           0.0048719,          0.00032452,           0.0099877,           0.0099877,           0.0099877
                 126,            0.010435,           0.0085478,           0.0031976,             0.98042,             0.98873,             0.99327,              0.9704,           0.0032543,           0.0048693,           0.0003235,           0.0099876,           0.0099876,           0.0099876
                 127,            0.010535,           0.0085033,           0.0031966,             0.98061,             0.98869,             0.99327,             0.97039,           0.0032511,           0.0048658,          0.00032266,           0.0099875,           0.0099875,           0.0099875
                 128,            0.010758,           0.0086862,           0.0034915,             0.98059,             0.98884,             0.99328,             0.97039,           0.0032492,           0.0048633,          0.00032235,           0.0099874,           0.0099874,           0.0099874
                 129,            0.010647,           0.0085758,           0.0032589,             0.98074,             0.98917,             0.99328,             0.97046,            0.003248,           0.0048608,          0.00032197,           0.0099873,           0.0099873,           0.0099873
                 130,            0.010546,           0.0085992,           0.0031548,             0.98079,             0.98908,              0.9933,             0.97061,           0.0032466,           0.0048596,          0.00032094,           0.0099872,           0.0099872,           0.0099872
                 131,            0.010488,           0.0084964,           0.0031492,             0.98055,              0.9894,             0.99332,             0.97057,            0.003245,           0.0048575,          0.00031946,           0.0099871,           0.0099871,           0.0099871
                 132,            0.010546,           0.0085932,           0.0030879,             0.98037,             0.98984,             0.99333,              0.9706,           0.0032431,            0.004854,          0.00031814,            0.009987,            0.009987,            0.009987
                 133,            0.010409,           0.0084379,           0.0030397,              0.9804,             0.98993,             0.99334,             0.97063,            0.003241,           0.0048501,          0.00031692,           0.0099869,           0.0099869,           0.0099869
                 134,            0.010482,           0.0084812,           0.0030612,             0.98063,             0.98999,             0.99335,             0.97058,           0.0032399,            0.004847,          0.00031561,           0.0099868,           0.0099868,           0.0099868
                 135,            0.010443,           0.0083772,           0.0031117,             0.98072,             0.99014,             0.99335,             0.97072,           0.0032389,            0.004846,          0.00031549,           0.0099867,           0.0099867,           0.0099867
                 136,            0.010504,            0.008442,           0.0031022,             0.98096,             0.99014,             0.99333,             0.97075,           0.0032373,           0.0048449,          0.00031488,           0.0099866,           0.0099866,           0.0099866
                 137,            0.010548,           0.0085097,           0.0031767,             0.98044,             0.99014,             0.99333,             0.97074,            0.003236,           0.0048441,          0.00031402,           0.0099865,           0.0099865,           0.0099865
                 138,            0.010625,           0.0085735,           0.0034172,             0.98042,             0.99002,             0.99334,             0.97055,           0.0032346,           0.0048423,          0.00031377,           0.0099864,           0.0099864,           0.0099864
                 139,            0.010592,           0.0086148,           0.0031835,             0.98039,             0.99008,             0.99334,             0.97053,           0.0032338,           0.0048424,          0.00031343,           0.0099863,           0.0099863,           0.0099863
                 140,            0.010607,           0.0084834,           0.0033808,             0.98037,             0.99012,             0.99334,             0.97059,           0.0032345,           0.0048432,           0.0003133,           0.0099862,           0.0099862,           0.0099862
                 141,            0.010662,           0.0085544,           0.0031018,             0.98049,             0.98991,             0.99335,             0.97059,            0.003234,           0.0048439,           0.0003134,           0.0099861,           0.0099861,           0.0099861
                 142,             0.01052,           0.0086247,           0.0030776,              0.9807,             0.98976,             0.99335,             0.97061,           0.0032326,           0.0048424,          0.00031209,            0.009986,            0.009986,            0.009986
                 143,            0.010496,           0.0085348,            0.003198,              0.9807,             0.98972,             0.99335,             0.97063,           0.0032318,           0.0048402,          0.00031186,           0.0099859,           0.0099859,           0.0099859
                 144,            0.010592,           0.0085358,            0.003106,             0.98063,             0.98964,             0.99335,             0.97069,           0.0032311,           0.0048373,          0.00031141,           0.0099858,           0.0099858,           0.0099858
                 145,             0.01054,           0.0084995,           0.0031735,             0.98045,             0.99011,             0.99335,             0.97065,           0.0032295,           0.0048355,          0.00031116,           0.0099857,           0.0099857,           0.0099857
                 146,            0.010503,           0.0087129,           0.0031844,             0.98056,             0.99033,             0.99335,             0.97065,           0.0032282,           0.0048345,          0.00031041,           0.0099856,           0.0099856,           0.0099856
                 147,            0.010486,           0.0084856,           0.0031164,             0.98051,             0.99006,             0.99335,             0.97073,           0.0032268,           0.0048343,          0.00030931,           0.0099855,           0.0099855,           0.0099855
                 148,            0.010573,           0.0086524,           0.0032673,             0.98037,             0.98957,             0.99334,             0.97075,           0.0032249,           0.0048345,          0.00030931,           0.0099854,           0.0099854,           0.0099854
                 149,            0.010452,           0.0085749,           0.0031757,             0.98041,             0.98966,             0.99333,             0.97073,           0.0032226,           0.0048342,          0.00030865,           0.0099853,           0.0099853,           0.0099853
