               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,            0.012899,           0.0060632,           0.0043602,             0.72724,             0.69931,             0.73865,             0.60245,           0.0070397,           0.0040873,            0.012396,           0.0099877,           0.0099877,           0.0099877
                 126,            0.012831,           0.0060987,           0.0043242,             0.72593,             0.70031,              0.7382,             0.60211,            0.007049,           0.0040927,            0.012433,           0.0099876,           0.0099876,           0.0099876
                 127,            0.012762,           0.0060085,           0.0042434,             0.72659,             0.70096,             0.73866,             0.60235,           0.0070558,           0.0040871,             0.01246,           0.0099875,           0.0099875,           0.0099875
                 128,            0.012803,           0.0060593,           0.0045182,             0.72849,              0.7012,              0.7393,             0.60319,           0.0070584,           0.0040727,            0.012474,           0.0099874,           0.0099874,           0.0099874
                 129,            0.012728,           0.0059663,            0.004333,             0.72834,             0.70177,             0.73984,             0.60363,           0.0070525,           0.0040645,            0.012451,           0.0099873,           0.0099873,           0.0099873
                 130,            0.012892,           0.0059616,           0.0044005,             0.72863,             0.70178,             0.74084,             0.60365,           0.0070526,           0.0040521,            0.012468,           0.0099872,           0.0099872,           0.0099872
                 131,            0.013131,           0.0061265,           0.0043975,             0.72921,             0.70318,             0.74157,             0.60435,           0.0070581,           0.0040454,            0.012476,           0.0099871,           0.0099871,           0.0099871
                 132,            0.012498,           0.0060054,           0.0041064,             0.72947,             0.70242,             0.74227,             0.60481,            0.007053,           0.0040454,            0.012428,            0.009987,            0.009987,            0.009987
                 133,            0.012761,           0.0060326,           0.0042626,             0.72875,             0.70422,             0.74299,             0.60572,           0.0070462,           0.0040455,            0.012402,           0.0099869,           0.0099869,           0.0099869
                 134,            0.012762,           0.0059184,           0.0040032,             0.72798,             0.70415,             0.74348,             0.60538,           0.0070479,           0.0040503,            0.012422,           0.0099868,           0.0099868,           0.0099868
                 135,             0.01284,             0.00596,           0.0041813,             0.72822,             0.70277,             0.74364,             0.60599,           0.0070363,           0.0040591,            0.012445,           0.0099867,           0.0099867,           0.0099867
                 136,            0.012689,           0.0059716,           0.0038773,             0.72569,             0.70402,              0.7439,             0.60636,           0.0070266,           0.0040625,            0.012417,           0.0099866,           0.0099866,           0.0099866
                 137,            0.012707,           0.0060357,            0.004603,             0.71923,             0.70992,             0.74466,             0.60674,           0.0070127,           0.0040678,            0.012392,           0.0099865,           0.0099865,           0.0099865
                 138,            0.012771,           0.0060054,           0.0041072,             0.72263,             0.70896,             0.74501,              0.6073,            0.007011,           0.0040716,            0.012363,           0.0099864,           0.0099864,           0.0099864
                 139,            0.012551,           0.0059647,           0.0040594,              0.7228,             0.70676,             0.74567,             0.60763,           0.0070071,           0.0040751,            0.012321,           0.0099863,           0.0099863,           0.0099863
                 140,            0.012813,           0.0059691,           0.0040021,             0.71108,             0.71788,             0.74627,             0.60818,           0.0070075,           0.0040744,            0.012274,           0.0099862,           0.0099862,           0.0099862
                 141,            0.012587,           0.0059648,           0.0042898,             0.71054,             0.71804,             0.74681,             0.60809,           0.0070243,           0.0040687,            0.012253,           0.0099861,           0.0099861,           0.0099861
                 142,            0.012506,           0.0059305,           0.0040302,             0.71064,              0.7187,             0.74748,             0.60872,           0.0070349,           0.0040662,            0.012216,            0.009986,            0.009986,            0.009986
                 143,             0.01261,           0.0060026,           0.0042579,             0.71041,             0.72009,             0.74752,             0.60877,           0.0070354,           0.0040661,            0.012148,           0.0099859,           0.0099859,           0.0099859
                 144,            0.012776,           0.0060117,            0.004191,             0.71247,             0.71893,             0.74697,             0.60848,           0.0070388,            0.004069,            0.012136,           0.0099858,           0.0099858,           0.0099858
                 145,            0.012838,           0.0060572,           0.0040544,             0.71255,             0.71749,             0.74612,             0.60858,           0.0070392,           0.0040653,            0.012111,           0.0099857,           0.0099857,           0.0099857
                 146,            0.012667,            0.005957,           0.0043031,             0.71215,             0.71754,             0.74631,             0.60894,           0.0070413,           0.0040668,             0.01213,           0.0099856,           0.0099856,           0.0099856
                 147,            0.012541,           0.0060161,           0.0044549,             0.71089,             0.71715,             0.74588,             0.60875,           0.0070403,           0.0040748,             0.01216,           0.0099855,           0.0099855,           0.0099855
                 148,            0.012743,           0.0059016,           0.0043747,             0.71078,             0.71688,             0.74629,             0.60899,           0.0070426,            0.004071,            0.012235,           0.0099854,           0.0099854,           0.0099854
                 149,            0.012577,            0.005852,            0.004521,             0.71104,             0.71943,             0.74706,             0.60912,           0.0070487,             0.00407,            0.012278,           0.0099853,           0.0099853,           0.0099853
                 150,            0.012316,           0.0058484,           0.0041949,             0.71199,             0.71923,              0.7481,             0.60953,           0.0070554,           0.0040745,            0.012302,           0.0099852,           0.0099852,           0.0099852
